PlayerLevel,PlayerAbility,PlayerMaxStamina,PlayerExp,PlayerTooltip
1,8001,50 ,25,0
2,8001,53 ,50,0
3,8001,55 ,75,0
4,8001,58 ,100,0
5,8001,60 ,125,1
6,8002,63 ,150,0
7,8002,65 ,175,0
8,8002,68 ,200,0
9,8002,70 ,225,0
10,8002,73 ,250,0
11,8002,75 ,275,0
12,8003,78 ,300,2
13,8003,80 ,325,0
14,8003,83 ,350,0
15,8003,85 ,375,0
16,8003,88 ,400,0
17,8003,90 ,425,0
18,8004,93 ,450,3
19,8004,95 ,475,0
20,8004,98 ,500,0
21,8004,100 ,525,0
22,8004,103 ,550,0
23,8004,105 ,575,0
24,8005,108 ,600,4
25,8005,110 ,625,0
26,8005,113 ,650,0
27,8005,115 ,675,0
28,8005,118 ,700,0
29,8005,120 ,725,0
30,8006,123 ,750,5
31,8006,125 ,775,0
32,8006,128 ,800,0
33,8006,130 ,825,0
34,8006,133 ,850,0
35,8006,135 ,875,0
36,8007,138 ,900,6
37,8007,140 ,925,0
38,8007,143 ,950,0
39,8007,145 ,975,0
40,8007,148 ,1000,0
41,8007,150 ,1025,0
42,8008,153 ,1050,7
43,8008,155 ,1075,0
44,8008,158 ,1100,0
45,8008,160 ,1125,0
46,8008,163 ,1150,0
47,8008,165 ,1175,0
48,8009,168 ,1200,8
49,8009,170 ,1225,0
50,8009,173 ,1250,0
51,8009,175 ,1275,0
52,8009,178 ,1300,0
53,8009,180 ,1325,0
54,8010,183 ,1350,9
55,8010,185 ,1375,0
56,8010,188 ,1400,0
57,8010,190 ,1425,0
58,8010,193 ,1450,0
59,8010,195 ,1475,0
60,8011,198 ,0,10
